Company Id,Upline station,Arrival Station,Scheduled Arvl Datetime,Sch Arv Date,Sch Arv Time,Gate,Departure Station,Downline Arrival Station,Scheduled Dept Datetime,Sch Dept Date,Sch Dept Time,Fleet,Tail Number
C5,EWR,RIC,2019-08-30 18:45:00,2019-08-30,18:45:00,B1,RIC,EWR,2019-08-30 19:15:00,2019-08-30,19:15:00,ERJ-145,N23139
YV,IAH,RIC,2019-08-20 16:05:00,2019-08-20,16:05:00,B1,RIC,IAH,2019-08-20 16:45:00,2019-08-20,16:45:00,ERJ-175,N89349
UA,ORD,RIC,2019-08-24 21:12:00,2019-08-24,21:12:00,B3,RIC,ORD,2019-08-25 07:00:00,2019-08-25,07:00:00,A319-100,N812UA
OO,DEN,RIC,2019-08-17 14:09:00,2019-08-17,14:09:00,B3,RIC,DEN,2019-08-17 14:45:00,2019-08-17,14:45:00,ERJ-175,N162SY
ZW,IAD,RIC,2019-08-31 18:15:00,2019-08-31,18:15:00,B1,RIC,ORD,2019-08-31 18:45:00,2019-08-31,18:45:00,CRJ-200,N433AW
ZW,IAD,RIC,2019-08-22 18:15:00,2019-08-22,18:15:00,B4,RIC,ORD,2019-08-22 18:45:00,2019-08-22,18:45:00,CRJ-200,N470ZW
OO,DEN,RIC,2019-08-22 23:20:00,2019-08-22,23:20:00,B1,RIC,DEN,2019-08-23 06:15:00,2019-08-23,06:15:00,ERJ-175,N119SY
YV,IAH,RIC,2019-08-25 22:18:00,2019-08-25,22:18:00,B4,RIC,IAH,2019-08-26 06:05:00,2019-08-26,06:05:00,ERJ-175,N88331
C5,EWR,RIC,2019-08-25 16:50:00,2019-08-25,16:50:00,B4,RIC,EWR,2019-08-25 17:45:00,2019-08-25,17:45:00,ERJ-145,N14186
OO,ORD,RIC,2019-08-26 10:05:00,2019-08-26,10:05:00,B3,RIC,ORD,2019-08-26 10:35:00,2019-08-26,10:35:00,CRJ-200,N959SW
C5,EWR,RIC,2019-08-28 18:45:00,2019-08-28,18:45:00,B2,RIC,EWR,2019-08-28 19:15:00,2019-08-28,19:15:00,ERJ-145,N17169
C5,IAD,RIC,2019-08-20 23:00:00,2019-08-20,23:00:00,B7,RIC,IAD,2019-08-21 06:40:00,2019-08-21,06:40:00,ERJ-145,N11181
UA,ORD,RIC,2019-08-16 21:08:00,2019-08-16,21:08:00,B3,RIC,ORD,2019-08-17 07:00:00,2019-08-17,07:00:00,B737-800,N26232
C5,EWR,RIC,2019-08-26 18:45:00,2019-08-26,18:45:00,B4,RIC,EWR,2019-08-26 19:15:00,2019-08-26,19:15:00,ERJ-145,N14143
C5,EWR,RIC,2019-08-23 10:30:00,2019-08-23,10:30:00,B4,RIC,EWR,2019-08-23 11:00:00,2019-08-23,11:00:00,ERJ-145,N14148
EV,EWR,RIC,2019-08-30 12:58:00,2019-08-30,12:58:00,B4,RIC,ORD,2019-08-30 13:30:00,2019-08-30,13:30:00,ERJ-145,N11548
