Company Id,Upline station,Arrival Station,Scheduled Arvl Datetime,Sch Arv Date,Sch Arv Time,Gate,Departure Station,Downline Arrival Station,Scheduled Dept Datetime,Sch Dept Date,Sch Dept Time,Fleet,Tail Number
UA,EWR,BOS,2019-07-17 13:39:00,2019-07-17,13:39:00,B36,BOS,IAD,2019-07-17 14:30:00,2019-07-17,14:30:00,A320-200,N461UA
UA,IAD,BOS,2019-07-29 10:04:00,2019-07-29,10:04:00,B28,BOS,EWR,2019-07-29 11:00:00,2019-07-29,11:00:00,B737-800,N14219
UA,EWR,BOS,2019-07-25 20:50:00,2019-07-25,20:50:00,B23,BOS,EWR,2019-07-26 06:05:00,2019-07-26,06:05:00,A320-200,N497UA
UA,IAH,BOS,2019-07-18 12:32:00,2019-07-18,12:32:00,B27,BOS,IAH,2019-07-18 13:33:00,2019-07-18,13:33:00,A320-200,N452UA
UA,ORD,BOS,2019-07-24 15:10:00,2019-07-24,15:10:00,B31,BOS,ORD,2019-07-24 16:30:00,2019-07-24,16:30:00,B737-800,N33203
UA,PTK,BOS,2019-07-21 21:50:00,2019-07-21,21:50:00,B24,BOS,EWR,2019-07-22 06:05:00,2019-07-22,06:05:00,B737-800,N37263
UA,SFO,BOS,2019-07-20 14:50:00,2019-07-20,14:50:00,B25,BOS,SFO,2019-07-20 15:55:00,2019-07-20,15:55:00,B757-200,N597UA
UA,DEN,BOS,2019-07-17 14:04:00,2019-07-17,14:04:00,B31,BOS,DEN,2019-07-17 15:20:00,2019-07-17,15:20:00,B737-900,N61898
UA,ORD,BOS,2019-07-20 17:35:00,2019-07-20,17:35:00,B27,BOS,ORD,2019-07-20 18:30:00,2019-07-20,18:30:00,B737-900,N75435
UA,ORD,BOS,2019-07-28 15:10:00,2019-07-28,15:10:00,B36,BOS,ORD,2019-07-28 16:30:00,2019-07-28,16:30:00,B737-900,N69818
UA,ORD,BOS,2019-07-19 12:15:00,2019-07-19,12:15:00,B24,BOS,ORD,2019-07-19 13:10:00,2019-07-19,13:10:00,B737-900,N38417
UA,ORD,BOS,2019-07-23 17:35:00,2019-07-23,17:35:00,B31,BOS,ORD,2019-07-23 18:27:00,2019-07-23,18:27:00,B737-800,N24202
UA,DEN,BOS,2019-07-17 17:23:00,2019-07-17,17:23:00,B36,BOS,DEN,2019-07-17 18:40:00,2019-07-17,18:40:00,B757-300,N57862
UA,LAX,BOS,2019-07-25 07:23:00,2019-07-25,07:23:00,B25,BOS,SFO,2019-07-25 10:45:00,2019-07-25,10:45:00,B757-200,N12109
UA,IAH,BOS,2019-07-28 12:32:00,2019-07-28,12:32:00,B28,BOS,IAD,2019-07-28 14:30:00,2019-07-28,14:30:00,A320-200,N492UA
UA,ORD,BOS,2019-07-24 09:18:00,2019-07-24,09:18:00,B26,BOS,ORD,2019-07-24 10:16:00,2019-07-24,10:16:00,B737-900,N75432
UA,DEN,BOS,2019-07-29 17:23:00,2019-07-29,17:23:00,B24,BOS,DEN,2019-07-29 18:40:00,2019-07-29,18:40:00,B757-300,N75861
UA,IAH,BOS,2019-07-29 16:51:00,2019-07-29,16:51:00,B31,BOS,IAH,2019-07-29 17:37:00,2019-07-29,17:37:00,A320-200,N401UA
UA,EWR,BOS,2019-07-25 18:28:00,2019-07-25,18:28:00,B28,BOS,EWR,2019-07-25 19:30:00,2019-07-25,19:30:00,B737-700,N13718
UA,DEN,BOS,2019-07-17 04:48:00,2019-07-17,04:48:00,B36,BOS,DEN,2019-07-17 06:15:00,2019-07-17,06:15:00,B737-900,N68817
UA,ORD,BOS,2019-07-18 21:24:00,2019-07-18,21:24:00,B26,BOS,ORD,2019-07-19 08:17:00,2019-07-19,08:17:00,B737-800,N12216
UA,EWR,BOS,2019-07-19 15:12:00,2019-07-19,15:12:00,B28,BOS,EWR,2019-07-19 16:00:00,2019-07-19,16:00:00,B737-700,N24702
UA,SFO,BOS,2019-07-30 22:00:00,2019-07-30,22:00:00,B23,BOS,SFO,2019-07-31 06:00:00,2019-07-31,06:00:00,B757-200,N568UA
UA,DEN,BOS,2019-07-23 22:06:00,2019-07-23,22:06:00,B26,BOS,DEN,2019-07-24 06:15:00,2019-07-24,06:15:00,B737-900,N36476
UA,LAX,BOS,2019-07-28 07:23:00,2019-07-28,07:23:00,B23,BOS,SFO,2019-07-28 10:45:00,2019-07-28,10:45:00,B757-200,N58101
UA,EWR,BOS,2019-07-18 10:42:00,2019-07-18,10:42:00,B25,BOS,EWR,2019-07-18 12:00:00,2019-07-18,12:00:00,B737-800,N25201
UA,DEN,BOS,2019-07-19 14:10:00,2019-07-19,14:10:00,B31,BOS,DEN,2019-07-19 15:20:00,2019-07-19,15:20:00,B737-900,N27477
UA,ORD,BOS,2019-07-22 09:13:00,2019-07-22,09:13:00,B25,BOS,ORD,2019-07-22 10:16:00,2019-07-22,10:16:00,B757-300,N57862
UA,IAD,BOS,2019-07-20 00:09:00,2019-07-20,00:09:00,B24,BOS,IAD,2019-07-20 06:08:00,2019-07-20,06:08:00,B737-900,N68880
UA,ORD,BOS,2019-07-31 15:10:00,2019-07-31,15:10:00,B25,BOS,ORD,2019-07-31 16:30:00,2019-07-31,16:30:00,B737-800,N18220
UA,DEN,BOS,2019-07-19 23:47:00,2019-07-19,23:47:00,B36,BOS,EWR,2019-07-20 08:00:00,2019-07-20,08:00:00,B737-900,N75432
UA,EWR,BOS,2019-07-24 16:50:00,2019-07-24,16:50:00,B28,BOS,EWR,2019-07-24 18:00:00,2019-07-24,18:00:00,A320-200,N428UA
UA,LAX,BOS,2019-07-27 07:23:00,2019-07-27,07:23:00,B23,BOS,LAX,2019-07-27 09:50:00,2019-07-27,09:50:00,B757-200,N19130
UA,SFO,BOS,2019-07-19 16:12:00,2019-07-19,16:12:00,B26,BOS,SFO,2019-07-19 17:10:00,2019-07-19,17:10:00,B757-200,N597UA
UA,EWR,BOS,2019-07-22 13:39:00,2019-07-22,13:39:00,B26,BOS,IAD,2019-07-22 14:40:00,2019-07-22,14:40:00,B737-900,N37413
UA,ORD,BOS,2019-07-23 11:12:00,2019-07-23,11:12:00,B26,BOS,DEN,2019-07-23 12:15:00,2019-07-23,12:15:00,B737-900,N39418
UA,DEN,BOS,2019-07-12 04:48:00,2019-07-12,04:48:00,B24,BOS,DEN,2019-07-12 06:15:00,2019-07-12,06:15:00,B737-900,N69804
UA,EWR,BOS,2019-07-19 10:42:00,2019-07-19,10:42:00,B26,BOS,EWR,2019-07-19 12:00:00,2019-07-19,12:00:00,B737-800,N35236
UA,EWR,BOS,2019-07-29 21:47:00,2019-07-29,21:47:00,B28,BOS,DEN,2019-07-30 06:15:00,2019-07-30,06:15:00,B737-800,N77536
UA,SFO,BOS,2019-07-23 19:39:00,2019-07-23,19:39:00,B26,BOS,SFO,2019-07-23 20:45:00,2019-07-23,20:45:00,B757-200,N518UA
UA,DEN,BOS,2019-07-22 23:47:00,2019-07-22,23:47:00,B25,BOS,ORD,2019-07-23 07:15:00,2019-07-23,07:15:00,B737-900,N68801
UA,SFO,BOS,2019-07-31 14:50:00,2019-07-31,14:50:00,B24,BOS,SFO,2019-07-31 15:55:00,2019-07-31,15:55:00,B757-200,N596UA
UA,SFO,BOS,2019-07-19 08:33:00,2019-07-19,08:33:00,B23,BOS,LAX,2019-07-19 09:50:00,2019-07-19,09:50:00,B757-200,N17133
UA,ORD,BOS,2019-07-26 19:15:00,2019-07-26,19:15:00,B31,BOS,ORD,2019-07-26 20:10:00,2019-07-26,20:10:00,B737-900,N69888
UA,ORD,BOS,2019-07-22 17:36:00,2019-07-22,17:36:00,B27,BOS,ORD,2019-07-22 18:27:00,2019-07-22,18:27:00,B737-800,N78285
UA,IAH,BOS,2019-07-22 23:24:00,2019-07-22,23:24:00,B24,BOS,ORD,2019-07-23 05:25:00,2019-07-23,05:25:00,A320-200,N432UA
UA,IAD,BOS,2019-07-21 00:09:00,2019-07-21,00:09:00,B23,BOS,IAD,2019-07-21 09:40:00,2019-07-21,09:40:00,B737-900,N69888
UA,EWR,BOS,2019-07-20 13:39:00,2019-07-20,13:39:00,B28,BOS,IAD,2019-07-20 14:30:00,2019-07-20,14:30:00,A319-100,N802UA
UA,EWR,BOS,2019-07-23 10:42:00,2019-07-23,10:42:00,B28,BOS,EWR,2019-07-23 12:00:00,2019-07-23,12:00:00,B737-800,N77510
UA,IAD,BOS,2019-08-05 18:48:00,2019-08-05,18:48:00,B28,BOS,IAD,2019-08-05 19:40:00,2019-08-05,19:40:00,B737-800,N87527
UA,DEN,BOS,2019-08-01 17:23:00,2019-08-01,17:23:00,B26,BOS,DEN,2019-08-01 18:40:00,2019-08-01,18:40:00,B757-300,N57862
UA,EWR,BOS,2019-07-29 10:42:00,2019-07-29,10:42:00,B36,BOS,EWR,2019-07-29 12:00:00,2019-07-29,12:00:00,B737-800,N77258
UA,IAD,BOS,2019-07-23 18:48:00,2019-07-23,18:48:00,B25,BOS,IAD,2019-07-23 19:43:00,2019-07-23,19:43:00,B737-900,N38417
UA,LAX,BOS,2019-07-20 16:58:00,2019-07-20,16:58:00,B24,BOS,LAX,2019-07-20 18:30:00,2019-07-20,18:30:00,B757-200,N18119
UA,SFO,BOS,2019-07-28 14:50:00,2019-07-28,14:50:00,B23,BOS,SFO,2019-07-28 15:55:00,2019-07-28,15:55:00,B757-200,N596UA
UA,IAH,BOS,2019-07-21 16:51:00,2019-07-21,16:51:00,B23,BOS,IAH,2019-07-21 17:37:00,2019-07-21,17:37:00,A320-200,N493UA
UA,EWR,BOS,2019-07-25 15:12:00,2019-07-25,15:12:00,B26,BOS,EWR,2019-07-25 16:00:00,2019-07-25,16:00:00,B737-700,N54711
UA,LAX,BOS,2019-07-10 16:58:00,2019-07-10,16:58:00,B24,BOS,SFO,2019-07-10 18:00:00,2019-07-10,18:00:00,B757-200,N17126
UA,ORD,BOS,2019-07-21 17:32:00,2019-07-21,17:32:00,B36,BOS,ORD,2019-07-21 18:27:00,2019-07-21,18:27:00,B737-900,N39450
UA,IAD,BOS,2019-07-27 00:09:00,2019-07-27,00:09:00,B26,BOS,IAD,2019-07-27 06:08:00,2019-07-27,06:08:00,B737-900,N69835
UA,IAD,BOS,2019-07-30 00:09:00,2019-07-30,00:09:00,B31,BOS,IAD,2019-07-30 06:10:00,2019-07-30,06:10:00,B737-900,N77431
UA,DEN,BOS,2019-07-24 04:48:00,2019-07-24,04:48:00,B24,BOS,IAD,2019-07-24 06:10:00,2019-07-24,06:10:00,B737-900,N66814
UA,IAH,BOS,2019-07-20 12:32:00,2019-07-20,12:32:00,B24,BOS,IAH,2019-07-20 13:33:00,2019-07-20,13:33:00,B737-900,N61882
UA,EWR,BOS,2019-07-29 16:55:00,2019-07-29,16:55:00,B36,BOS,EWR,2019-07-29 18:00:00,2019-07-29,18:00:00,B737-900,N47414
UA,ORD,BOS,2019-07-21 19:16:00,2019-07-21,19:16:00,B31,BOS,ORD,2019-07-21 20:10:00,2019-07-21,20:10:00,A320-200,N449UA
UA,ORD,BOS,2019-07-18 15:11:00,2019-07-18,15:11:00,B28,BOS,ORD,2019-07-18 16:30:00,2019-07-18,16:30:00,A320-200,N439UA
UA,EWR,BOS,2019-07-21 23:19:00,2019-07-21,23:19:00,B27,BOS,IAD,2019-07-22 06:10:00,2019-07-22,06:10:00,B737-700,N24729
UA,ORD,BOS,2019-07-25 09:14:00,2019-07-25,09:14:00,B23,BOS,ORD,2019-07-25 10:06:00,2019-07-25,10:06:00,B737-800,N16234
UA,DEN,BOS,2019-07-20 21:51:00,2019-07-20,21:51:00,B31,BOS,DEN,2019-07-21 09:45:00,2019-07-21,09:45:00,B737-800,N37273
UA,DEN,BOS,2019-07-22 04:48:00,2019-07-22,04:48:00,B26,BOS,DEN,2019-07-22 06:15:00,2019-07-22,06:15:00,B737-900,N69839
UA,IAD,BOS,2019-07-26 00:09:00,2019-07-26,00:09:00,B31,BOS,DEN,2019-07-26 09:45:00,2019-07-26,09:45:00,B737-900,N69806
UA,ORD,BOS,2019-07-30 11:12:00,2019-07-30,11:12:00,B27,BOS,DEN,2019-07-30 12:15:00,2019-07-30,12:15:00,B737-900,N37468
UA,SFO,BOS,2019-07-26 19:39:00,2019-07-26,19:39:00,B26,BOS,SFO,2019-07-26 20:45:00,2019-07-26,20:45:00,B757-200,N598UA
UA,EWR,BOS,2019-07-24 10:52:00,2019-07-24,10:52:00,B36,BOS,EWR,2019-07-24 11:45:00,2019-07-24,11:45:00,A319-100,N854UA
UA,ORD,BOS,2019-07-27 00:43:00,2019-07-27,00:43:00,B27,BOS,ORD,2019-07-27 08:17:00,2019-07-27,08:17:00,B737-800,N77542
UA,SFO,BOS,2019-07-25 05:22:00,2019-07-25,05:22:00,B31,BOS,SFO,2019-07-25 08:05:00,2019-07-25,08:05:00,B757-200,N518UA
UA,SFO,BOS,2019-07-25 16:12:00,2019-07-25,16:12:00,B24,BOS,SFO,2019-07-25 17:10:00,2019-07-25,17:10:00,B757-200,N588UA
UA,EWR,BOS,2019-07-26 23:19:00,2019-07-26,23:19:00,B25,BOS,EWR,2019-07-27 06:05:00,2019-07-27,06:05:00,B737-700,N33714
UA,ORD,BOS,2019-07-24 17:32:00,2019-07-24,17:32:00,B31,BOS,ORD,2019-07-24 18:27:00,2019-07-24,18:27:00,B737-900,N47414
UA,LAX,BOS,2019-07-22 07:23:00,2019-07-22,07:23:00,B26,BOS,SFO,2019-07-22 10:45:00,2019-07-22,10:45:00,B757-200,N12109
UA,ORD,BOS,2019-07-15 00:37:00,2019-07-15,00:37:00,B27,BOS,EWR,2019-07-15 06:05:00,2019-07-15,06:05:00,B737-800,N77539
UA,ORD,BOS,2019-07-19 17:36:00,2019-07-19,17:36:00,B27,BOS,ORD,2019-07-19 18:27:00,2019-07-19,18:27:00,A320-200,N436UA
UA,IAH,BOS,2019-07-15 12:32:00,2019-07-15,12:32:00,B27,BOS,IAH,2019-07-15 13:33:00,2019-07-15,13:33:00,A320-200,N441UA
UA,EWR,BOS,2019-07-24 12:52:00,2019-07-24,12:52:00,B24,BOS,EWR,2019-07-24 14:00:00,2019-07-24,14:00:00,A320-200,N422UA
UA,BDL,BOS,2019-07-31 17:23:00,2019-07-31,17:23:00,B26,BOS,DEN,2019-07-31 18:40:00,2019-07-31,18:40:00,B757-300,N75861
UA,EWR,BOS,2019-07-24 08:42:00,2019-07-24,08:42:00,B36,BOS,EWR,2019-07-24 09:55:00,2019-07-24,09:55:00,A320-200,N422UA
UA,EWR,BOS,2019-07-23 16:50:00,2019-07-23,16:50:00,B28,BOS,EWR,2019-07-23 18:00:00,2019-07-23,18:00:00,A320-200,N409UA
UA,IAD,BOS,2019-07-22 18:48:00,2019-07-22,18:48:00,B26,BOS,IAD,2019-07-22 19:40:00,2019-07-22,19:40:00,B737-700,N38727
UA,IAH,BOS,2019-07-31 16:51:00,2019-07-31,16:51:00,B36,BOS,IAH,2019-07-31 17:37:00,2019-07-31,17:37:00,A320-200,N415UA
UA,DEN,BOS,2019-07-30 14:04:00,2019-07-30,14:04:00,B27,BOS,CYS,2019-07-30 15:20:00,2019-07-30,15:20:00,B737-800,N73270
UA,ORD,BOS,2019-07-22 22:52:00,2019-07-22,22:52:00,B27,BOS,IAH,2019-07-23 07:35:00,2019-07-23,07:35:00,A319-100,N833UA
UA,ORD,BOS,2019-07-24 19:16:00,2019-07-24,19:16:00,B36,BOS,ORD,2019-07-24 20:10:00,2019-07-24,20:10:00,A319-100,N852UA
UA,DEN,BOS,2019-07-26 14:10:00,2019-07-26,14:10:00,B31,BOS,DEN,2019-07-26 15:20:00,2019-07-26,15:20:00,B737-900,N38459
UA,IAH,BOS,2019-07-11 19:25:00,2019-07-11,19:25:00,B26,BOS,IAH,2019-07-11 20:20:00,2019-07-11,20:20:00,B737-900,N30401
UA,SFO,BOS,2019-07-20 05:22:00,2019-07-20,05:22:00,B23,BOS,SFO,2019-07-20 08:05:00,2019-07-20,08:05:00,B757-200,N502UA
UA,LAX,BOS,2019-07-24 16:58:00,2019-07-24,16:58:00,B25,BOS,SFO,2019-07-24 18:00:00,2019-07-24,18:00:00,B757-200,N13110
UA,IAD,BOS,2019-07-26 14:19:00,2019-07-26,14:19:00,B26,BOS,ORD,2019-07-26 15:15:00,2019-07-26,15:15:00,B737-800,N16234
UA,SFO,BOS,2019-07-23 05:22:00,2019-07-23,05:22:00,B36,BOS,SFO,2019-07-23 08:05:00,2019-07-23,08:05:00,B757-200,N510UA
UA,ORD,BOS,2019-07-13 11:12:00,2019-07-13,11:12:00,B25,BOS,DEN,2019-07-13 12:15:00,2019-07-13,12:15:00,B737-900,N39418
UA,ORD,BOS,2019-07-24 21:24:00,2019-07-24,21:24:00,B26,BOS,ORD,2019-07-25 05:25:00,2019-07-25,05:25:00,B737-800,N33289
UA,EWR,BOS,2019-07-17 10:52:00,2019-07-17,10:52:00,B27,BOS,EWR,2019-07-17 11:45:00,2019-07-17,11:45:00,A319-100,N833UA
UA,EWR,BOS,2019-07-18 15:12:00,2019-07-18,15:12:00,B24,BOS,EWR,2019-07-18 16:00:00,2019-07-18,16:00:00,B737-700,N38727
UA,EWR,BOS,2019-07-25 12:42:00,2019-07-25,12:42:00,B23,BOS,EWR,2019-07-25 14:00:00,2019-07-25,14:00:00,B737-800,N77258
UA,DEN,BOS,2019-07-25 14:04:00,2019-07-25,14:04:00,B31,BOS,DEN,2019-07-25 15:20:00,2019-07-25,15:20:00,B737-900,N37419
UA,SFO,BOS,2019-07-29 17:21:00,2019-07-29,17:21:00,B23,BOS,SFO,2019-07-29 18:19:00,2019-07-29,18:19:00,B757-200,N568UA
UA,IAH,BOS,2019-07-17 23:24:00,2019-07-17,23:24:00,B31,BOS,IAH,2019-07-18 07:35:00,2019-07-18,07:35:00,A320-200,N469UA
UA,DEN,BOS,2019-07-18 04:48:00,2019-07-18,04:48:00,B23,BOS,DEN,2019-07-18 09:45:00,2019-07-18,09:45:00,B737-900,N69806
UA,SFO,BOS,2019-07-28 08:33:00,2019-07-28,08:33:00,B25,BOS,LAX,2019-07-28 09:50:00,2019-07-28,09:50:00,B757-200,N48127
UA,ORD,BOS,2019-07-28 19:16:00,2019-07-28,19:16:00,B27,BOS,ORD,2019-07-28 20:10:00,2019-07-28,20:10:00,A320-200,N462UA
UA,EWR,BOS,2019-07-29 08:42:00,2019-07-29,08:42:00,B27,BOS,EWR,2019-07-29 09:55:00,2019-07-29,09:55:00,B737-800,N76288
UA,SFO,BOS,2019-07-23 16:12:00,2019-07-23,16:12:00,B26,BOS,SFO,2019-07-23 17:10:00,2019-07-23,17:10:00,B757-200,N589UA
UA,EWR,BOS,2019-07-23 18:18:00,2019-07-23,18:18:00,B24,BOS,EWR,2019-07-23 19:30:00,2019-07-23,19:30:00,A319-100,N828UA
UA,DEN,BOS,2019-07-22 17:23:00,2019-07-22,17:23:00,B23,BOS,DEN,2019-07-22 18:40:00,2019-07-22,18:40:00,B757-300,N57869
UA,IAH,BOS,2019-07-29 23:24:00,2019-07-29,23:24:00,B25,BOS,ORD,2019-07-30 05:25:00,2019-07-30,05:25:00,A320-200,N403UA
UA,SFO,BOS,2019-07-18 05:22:00,2019-07-18,05:22:00,B24,BOS,SFO,2019-07-18 08:05:00,2019-07-18,08:05:00,B757-200,N597UA
UA,IAD,BOS,2019-07-19 14:19:00,2019-07-19,14:19:00,B26,BOS,ORD,2019-07-19 15:15:00,2019-07-19,15:15:00,B737-800,N76503
UA,EWR,BOS,2019-07-17 08:42:00,2019-07-17,08:42:00,B26,BOS,EWR,2019-07-17 09:55:00,2019-07-17,09:55:00,A320-200,N461UA
UA,EWR,BOS,2019-08-01 16:55:00,2019-08-01,16:55:00,B31,BOS,EWR,2019-08-01 18:00:00,2019-08-01,18:00:00,B737-900,N75425
UA,SFO,BOS,2019-08-06 17:27:00,2019-08-06,17:27:00,B23,BOS,LAX,2019-08-06 18:30:00,2019-08-06,18:30:00,B757-200,N29124
UA,IAH,BOS,2019-08-01 19:25:00,2019-08-01,19:25:00,B25,BOS,IAH,2019-08-01 20:20:00,2019-08-01,20:20:00,B737-900,N75410
UA,ORD,BOS,2019-07-25 21:24:00,2019-07-25,21:24:00,B24,BOS,ORD,2019-07-26 05:25:00,2019-07-26,05:25:00,B737-800,N78511
UA,IAD,BOS,2019-07-17 10:04:00,2019-07-17,10:04:00,B28,BOS,EWR,2019-07-17 11:00:00,2019-07-17,11:00:00,A320-200,N418UA
UA,ORD,BOS,2019-07-22 19:15:00,2019-07-22,19:15:00,B27,BOS,ORD,2019-07-22 20:10:00,2019-07-22,20:10:00,B737-900,N37470
